DRUGBANK,name,groups,DRUGS PRODUCT DATABASE (DPD),PUBCHEM SUBSTANCE,KEGG DRUG,PHARMGKB,UNIPROTKB,THERAPEUTIC TARGETS DATABASE,WIKIPEDIA,CHEMBL,RXCUI,GENBANK,KEGG COMPOUND,CHEBI,PUBCHEM COMPOUND,CHEMSPIDER,BINDINGDB,IUPHAR,GUIDE TO PHARMACOLOGY,PDB,ZINC
DB06788,Histrelin,approved,18561,347827797,D02369,,,,Histrelin,CHEMBL1201255,50975,,,63530,56927879,26606349,,,,,
DB06789,Hydroxyprogesterone caproate,"approved,investigational",,310264886,D00949,,,,Hydroxyprogesterone_caproate,CHEMBL1200848,12488,,C08148,5812,169870,148552,70293,,,,ZINC000004083606
DB06791,Lanreotide,approved,19728,310264887,D04666,,,,Lanreotide,CHEMBL1201185,68092,,,,71349,64450,,,,,
DB06792,Lanthanum carbonate,approved,20021,310264888,,,,,Lanthanum_carbonate,CHEMBL2096647,1311070,,,,168924,147758,,,,,
DB06794,Lodoxamide,approved,11177,310264890,D04762,,,,Lodoxamide,CHEMBL1201266,52151,,,135333,44564,40543,50259889,,,,ZINC000002000707
DB06795,Mafenide,"approved,vet_approved",11904,310264891,D02351,,,,Mafenide,CHEMBL419,6572,,C07106,6633,3998,3858,10860,,,6LH,ZINC000000001644
DB06797,Mebutamate,approved,,,D01807,,,,Mebutamate,CHEMBL1200922,,,,31804,,5919,,,,,
DB06799,Methenamine,"approved,vet_approved",7065,310264893,D00393,,,,Hexamethylenetetramine,CHEMBL1201270,6832,,,6824,4101,3959,,,,,ZINC000086040406
DB06800,Methylnaltrexone,approved,20208,175427092,D06618,,,,Methylnaltrexone,CHEMBL1186579,29899,,,,16089915,17248532,,,,,ZINC000245204949
DB06802,Nepafenac,"approved,investigational",20215,99443294,D05143,PA165958407,,,Nepafenac,CHEMBL1021,298665,,,75922,151075,133160,50228731,,,,ZINC000005162311
DB06803,Niclosamide,"approved,investigational,vet_approved",,99443295,D00436,PA165958408,,,Niclosamide,CHEMBL1448,7402,,,7553,4477,4322,11242,,,,ZINC000003874496
DB06807,Phenyl aminosalicylate,approved,,,,,,,,CHEMBL1200868,,,,114203,,8290,,,,,ZINC000000119905
DB06809,Plerixafor,approved,21077,99443297,D08971,PA165958410,,,Plerixafor,CHEMBL18442,733003,,,125354,65015,58531,50035696,844,844,,ZINC000022443609
DB06811,Polidocanol,approved,12518,175427093,D01993,,,,Polidocanol,CHEMBL1231723,968170,,C13493,46859,656641,570993,,,,CE9,ZINC000008214662
DB06812,Povidone-iodine,approved,10225,347910372,D00863,,,,Povidone-iodine,CHEMBL1201724,8611,,C08043,8347,,,,,,,
DB06813,Pralatrexate,"approved,investigational",23006,175427094,D05589,,,,Pralatrexate,CHEMBL1201746,662019,,,71223,148121,130578,,,,,
DB06814,Protokylol,"approved,vet_approved",,,,,,,Protokylol,CHEMBL1201273,,,,135413,,4798,,,,,
DB06815,Pyrithione,approved,662,347827800,,,,,Pyrithione_zinc,CHEMBL1356238,35100,,,36584,26041,10446934,50366038,,,,ZINC000000156822
DB06816,Pyrvinium,approved,11699,310264894,,,,,Pyrvinium,CHEMBL1201303,35163,,C07412,8687,5281035,21125,,,,,ZINC000003831401
DB06817,Raltegravir,approved,20173,175427095,D06676,,,,Raltegravir,CHEMBL254316,719872,,,,54671008,16445111,25351,,,RLT,ZINC000013831130
DB06819,Phenylbutyric acid,"approved,investigational",22565,310264895,D05868,,,,Sodium_phenylbutyrate,CHEMBL1469,1546447,,,41500,4775,4611,,,,CLT,ZINC000000056568
DB06820,Sulconazole,approved,,310264896,D08535,,,,Sulconazole,CHEMBL1221,37319,,C08076,77776,5318,5127,31770,,,,
DB06821,Sulfameter,approved,,,D02517,,,,Sulfametoxydiazine,CHEMBL1200359,,,,53727,,5135,,,,,ZINC000000049142
DB06822,Tinzaparin,approved,619,347910373,D06398,,,,Tinzaparin,,104466,,,,,,,,,,
DB06823,Tiopronin,"approved,investigational",,347827801,D01430,,,,Tiopronin,CHEMBL1314,6765,,C12876,32229,5483,5283,50020805,,,,
DB06824,Triethylenetetramine,"approved,investigational",,310264897,,,,,Triethylenetetramine,CHEMBL609,10798,,C07166,39501,5565,21106175,50323751,,,104,ZINC000019364225
DB06825,Triptorelin,"approved,vet_approved",21395,310264898,D06247,,,,Triptorelin,CHEMBL1201334,38782,,,63633,25074470,17290424,,,,,
DB06826,Unoprostone,"approved,investigational",12696,347827802,,,,,Unoprostone,CHEMBL1201407,1546408,,,39455,5311236,4470755,,,,,ZINC000008214703
DB06827,Viomycin,approved,,175427096,,,,,Viomycin,CHEMBL3085436,,,C01540,15782,3037981,2301596,,,,,ZINC000049799668
DB07565,Chloramphenicol succinate,approved,,99444036,,,,,Chloramphenicol,CHEMBL1201281,20769,,C11727,,656580,570947,,,,CL8,ZINC000001532336
DB07776,Flavone,"approved,experimental",,99444247,,,,,Flavones,CHEMBL275638,1536070,,C15608,42491,10680,10230,50028962,409,409,FLN,ZINC000000057674
DB08439,Parecoxib,approved,,99444910,D02709,PA166049193,,,Parecoxib,CHEMBL1206690,279950,,,73038,119828,106990,,,,PXB,ZINC000005761797
DB08604,Triclosan,"approved,investigational",2813,99445075,D06226,,,,Triclosan,CHEMBL849,10795,,C12059,164200,5564,5363,8726,,,TCL,ZINC000000002216
DB08797,Salicylamide,approved,9537,99445267,D01811,,,,Salicylamide,CHEMBL27577,9518,,,32114,5147,4963,50056900,,,OHB,ZINC000000002055
DB08799,Antazoline,approved,4165,99445269,D07458,PA165958418,,,Antazoline,CHEMBL1305,865,,,84115,2200,2115,76862,,,,ZINC000000057204
DB08801,Dimetindene,"approved,investigational",,99445271,D07853,PA165958420,,,Dimetindene,CHEMBL22108,3449,,,135222,21855,20541,81452,,,,
DB08804,Nandrolone decanoate,"approved,illicit",7464,99445274,D00955,PA165958423,,DAP000903,Nandrolone_decanoate,CHEMBL1200946,31494,,C08154,7467,9677,9296,,,,,ZINC000008214619
DB08809,Dichloroacetic acid,"approved,investigational",1279,175427097,,PA165947835,,,Dichloroacetic_acid,CHEMBL13960,155021,,C11149,36386,6597,10771217,227588,,,TF4,ZINC000003830689
DB08813,Nadroparin,"approved,investigational",11714,347910374,,,,,Nadroparin,,67031,,,,,,,,,,
DB08814,Triflusal,"approved,investigational",,347827803,,,,,Triflusal,CHEMBL1332032,38655,,,94721,9458,9086,,,,,ZINC000000002220
DB08815,Lurasidone,"approved,investigational",21372,175427100,D04820,PA166129557,,,Lurasidone,CHEMBL1237021,1040028,,,70735,213046,184739,85222,,,,ZINC000003927822
DB08816,Ticagrelor,approved,20742,175427101,D09017,PA165374673,,,Ticagrelor,CHEMBL398435,1116632,,,68558,9871419,8047109,50397205,,,TIQ,ZINC000028957444
DB08818,Hyaluronic acid,"approved,vet_approved",1954,310264899,D08043,PA165958431,,,Sodium_hyaluronate,,5463,,C00518,,24759,23145,,,,,
DB08819,Tafluprost,approved,22289,175427102,D06274,PA165958432,,,Tafluprost,CHEMBL1963683,1244607,,,66899,9868491,8044182,,,,,ZINC000013912394
DB08820,Ivacaftor,approved,21511,175427103,D09916,PA165950341,,,Ivacaftor,CHEMBL2010601,1243041,,,66901,16220172,17347474,50032693,,,VX7,ZINC000052509463
DB08822,Azilsartan medoxomil,"approved,investigational",21230,175427104,D08865,,,,Azilsartan,CHEMBL2028661,1294597,,,68845,11238823,9413866,,,,,ZINC000014210642
DB08823,Spinosad,"approved,investigational,vet_approved",20518,175427105,D09384,,,,Spinosad,CHEMBL2040681,299081,,,39211,17754356,16736513,,,,,
DB08824,Ioflupane I-123,approved,,175427106,D10014,,,,Ioflupane_(123I),CHEMBL3989517,1426874,,,68855,3086674,2343241,,,,,ZINC000100091991
DB08826,Deferiprone,approved,22561,175427107,D07416,PA166118041,,,Deferiprone,CHEMBL70927,11645,,,68554,2972,2866,,,,,ZINC000000006226
DB08827,Lomitapide,"approved,investigational",22241,175427108,D09637,PA166114922,,,Lomitapide,CHEMBL354541,1364479,,,72297,9853053,8028764,50098320,,,,ZINC000027990463
DB08828,Vismodegib,"approved,investigational",22125,175427109,D09992,PA166048558,,,Vismodegib,CHEMBL473417,1242987,,,66903,24776445,23337846,50249522,,,VIS,ZINC000040899447
DB08842,Acetylcarnitine,"approved,investigational",,175427117,,,,,Acetylcarnitine,CHEMBL1697733,193,,C02571,57589,7045767,5406074,,,,,
DB08860,Pitavastatin,approved,,175427122,D01862,PA142650384,,,Pitavastatin,CHEMBL1201753,861634,,C13334,32020,5282452,4445604,86707,,,,ZINC000001534965
DB08862,Cholecystokinin,"approved,investigational",2068,347910375,,,,,Cholecystokinin,,2420,,,,,,,,,,
DB08864,Rilpivirine,approved,20874,175427123,D09720,,,,Rilpivirine,CHEMBL175691,1102270,,,68606,6451164,4953643,222178,,,T27,ZINC000001554274
DB08865,Crizotinib,approved,21291,310264901,D09731,PA165946122,,,Crizotinib,CHEMBL601719,1148495,,,64310,11626560,9801307,50306682,,,VGH,ZINC000035902489
DB08867,Ulipristal,approved,22109,310264902,D09567,,,,Ulipristal_acetate,CHEMBL2103846,1005921,,,71025,13559281,19349271,,,,,ZINC000034089131
DB08868,Fingolimod,"approved,investigational",20671,175427125,D10001,,,,Fingolimod,CHEMBL314854,1012892,,,63115,107970,97087,50158336,,,,ZINC000001542002
DB08869,Tesamorelin,"approved,investigational",22270,347827804,D09015,,P01286,,Tesamorelin,CHEMBL1237026,1044584,,,63626,56928011,34999256,,,,,
DB08870,Brentuximab vedotin,"approved,investigational",21796,347910376,D09587,,,,Brentuximab_vedotin,CHEMBL1742994,1147320,,,,,,,,,,
DB08871,Eribulin,"approved,investigational",21079,175427126,D08914,,,,Eribulin,CHEMBL1683590,1045453,,,63587,73425383,24721813,,,,6K9,ZINC000169344691
DB08872,Gabapentin enacarbil,"approved,investigational",,347827805,D09539,,,,Gabapentin_enacarbil,CHEMBL1628502,1101333,,,68840,9883933,8059607,,,,,
DB08874,Fidaxomicin,approved,21336,175427128,D09394,,,,Fidaxomicin,CHEMBL1255800,1111103,,,68590,70678896,8209640,,,,FI8,
DB08875,Cabozantinib,"approved,investigational",22975,347827806,D10062,,,,Cabozantinib,CHEMBL2105717,1363268,,,72317,25102847,25948202,50021574,,,,ZINC000070466416
DB08876,Taliglucerase alfa,"approved,investigational",22330,347910377,D09675,,,,Taliglucerase_alfa,CHEMBL1964120,1291609,,,,,,,,,,
DB08877,Ruxolitinib,approved,21376,175427129,D09959,PA166123386,,,Ruxolitinib,CHEMBL1789941,1193326,,,66919,25126798,25027389,50355501,,,RXT,ZINC000043207851
DB08879,Belimumab,approved,20836,347910378,D03068,,,,Belimumab,CHEMBL1789843,1092437,,,,,,,,,,
DB08880,Teriflunomide,approved,22169,347827807,D10172,,,,Teriflunomide,CHEMBL973,1310520,,,68540,54684141,16737143,50018011,,,A26,ZINC000013512456
DB08881,Vemurafenib,approved,21189,175427131,D09996,PA165946873,,,Vemurafenib,CHEMBL1229517,1147220,,,63637,42611257,24747352,50396483,,,032,ZINC000052509366
DB08882,Linagliptin,approved,20882,175427132,D09566,,,,Linagliptin,CHEMBL237500,1100699,,,68610,10096344,8271879,50228403,,,356,ZINC000003820029
DB08883,Perampanel,approved,22049,347827808,D08964,,,,Perampanel,CHEMBL1214124,1356552,,,71013,9924495,8100130,50184410,,,6ZP,ZINC000030691797
DB08884,Gadoxetic acid,approved,20566,175427133,D04288,PA165985534,,,Gadoxetic_acid,CHEMBL1201768,802624,,,,131704314,189907,,,,,
DB08885,Aflibercept,approved,22163,347910379,D09574,,,,Aflibercept,CHEMBL1742982,1232150,,,,,,,,,,
DB08886,Asparaginase Erwinia chrysanthemi,"approved,investigational",,347910380,D02997,,P06608,,Asparaginase,CHEMBL1863514,1431738,X12746,,,,,,,,,
DB08887,Icosapent ethyl,"approved,investigational,nutraceutical",23405,175427134,D01892,,,,Ethyl_eicosapentaenoic_acid,CHEMBL2095209,1304974,,C16184,84883,9831415,8007147,,,,,ZINC000003785276
DB08888,Ocriplasmin,approved,22139,347910381,D09646,,,,Ocriplasmin,CHEMBL2095222,29998,,,,,,,,,,
DB08889,Carfilzomib,"approved,investigational",22678,175427135,D08880,PA166165203,,,Carfilzomib,CHEMBL451887,1302966,,,65347,11556711,9731489,50277889,,,,ZINC000049841054
DB08890,Linaclotide,approved,22180,175427136,D09355,,,,Linaclotide,CHEMBL3301675,1307404,,,68551,16158208,17314504,,,,,
DB08893,Mirabegron,approved,22029,175427137,D09535,,,,Mirabegron,CHEMBL2095212,1300786,,,65349,9865528,8041219,,,,,ZINC000001996784
DB08894,Peginesatide,"approved,investigational",,175427138,D09947,,,,Peginesatide,CHEMBL2107866,1248798,,,66895,,,,,,,
DB08895,Tofacitinib,"approved,investigational",22274,347827811,D09970,,,,Tofacitinib,CHEMBL221959,1357536,,,71200,9926791,8102425,50193995,,,MI1,ZINC000003818808
DB08896,Regorafenib,approved,22042,175427139,D10138,,,,Regorafenib,CHEMBL1946170,1312397,,,68647,11167602,9342697,50363397,,,,ZINC000006745272
DB08897,Aclidinium,approved,22129,175427140,D08837,,,,Aclidinium_bromide,CHEMBL1194325,1303098,,,65346,11434515,9609381,50296331,,,,ZINC000030691727
DB08898,Glucarpidase,"approved,investigational",,347910382,D10260,,P06621,,Glucarpidase,CHEMBL1863515,1242127,,,,,,,,,,
DB08899,Enzalutamide,approved,22083,175427141,D10218,,,,Enzalutamide,CHEMBL1082407,1307298,,,68534,15951529,13093347,50425732,,,,ZINC000034806477
DB08900,Teduglutide,approved,22636,347910383,D06053,,,,Teduglutide,CHEMBL2104987,1364468,,C16049,72305,,,,,,,
DB08901,Ponatinib,"approved,investigational",22576,175427142,D09950,PA165980594,,,Ponatinib,CHEMBL1171837,1364347,,,78543,24826799,24747381,50322535,,,0LI,ZINC000036701290
DB08902,Raxibacumab,approved,,347910384,D05706,,,,Raxibacumab,CHEMBL2108638,1366567,,,,,,,,,,
DB08903,Bedaquiline,approved,,175427143,D09872,,,,Bedaquiline,CHEMBL376488,1364504,,C14122,72292,5388906,4534966,50063995,,,BQ1,ZINC000004655029
DB08904,Certolizumab pegol,approved,20513,347910385,D03441,PA165107055,,,Certolizumab_pegol,CHEMBL1201831,709271,,,,,,,,,,
DB08906,Fluticasone furoate,approved,20155,175427145,D06315,,,,Fluticasone_furoate,CHEMBL1676,705022,,,74899,9854489,8030195,50354851,,,GW6,ZINC000003992105
DB08907,Canagliflozin,approved,22295,175427146,D09592,,,,Canagliflozin,CHEMBL2048484,1373458,,,73274,24812758,26333259,50386885,,,,ZINC000043207238
DB08908,Dimethyl fumarate,"approved,investigational",22048,347827812,D03846,PA166152838,,,Dimethyl_fumarate,CHEMBL2107333,1373478,,,76004,637568,553171,,,,,ZINC000003843378
DB08909,Glycerol phenylbutyrate,approved,22705,175427147,D10127,,,,Glycerol_phenylbutyrate,CHEMBL2105745,1368451,,,134745,10482134,8657541,,,,,
DB08910,Pomalidomide,approved,22238,175427148,D08976,,,,Pomalidomide,CHEMBL43452,1369713,,,72690,134780,118785,65456,,,,
DB08911,Trametinib,approved,22128,175427149,D10175,PA166115364,,,Trametinib,CHEMBL2103875,1425099,,,75998,11707110,9881833,,,,,ZINC000043100709
DB08912,Dabrafenib,"approved,investigational",22126,175427150,D10064,,,,Dabrafenib,CHEMBL2028663,1424911,,,75045,44462760,25948204,50428286,,,P06,ZINC000068153186
DB08913,Radium Ra 223 dichloride,"approved,investigational",,175427151,D10398,,,,Radium-223_chloride,CHEMBL2107816,1424174,,,74895,,28528370,,,,,
DB08916,Afatinib,approved,22160,175427153,D09724,PA165981154,,,Afatinib,CHEMBL1173655,1430438,,,61390,10184653,8360155,50322823,,,0WM,ZINC000003976838
DB08917,Ferric carboxymaltose,approved,,347910386,D08920,,,,Iron_supplement,CHEMBL2108597,1433693,,,,,,,,,,
DB08918,Levomilnacipran,"approved,investigational",22602,175427154,D10072,,,,Levomilnacipran,CHEMBL99946,1433212,,,136040,6917779,5293005,50032379,,,,ZINC000000000506
DB08930,Dolutegravir,approved,21556,175427161,D10066,PA166114961,,,Dolutegravir,CHEMBL1229211,1433868,,,76010,54726191,25051637,50062551,,,DLU,ZINC000058581064
DB08931,Riociguat,approved,22148,310264904,D09572,,,,Riociguat,CHEMBL2107834,1439816,,,76018,11304743,9479719,,,,,ZINC000003819392
DB08932,Macitentan,approved,22162,175427162,D10135,,,,Macitentan,CHEMBL2103873,1442132,,,76607,16004692,13134960,50395626,,,,ZINC000043202140
DB08933,Luliconazole,approved,,175427163,D01980,,,,Luliconazole,CHEMBL2105689,1482680,,C13478,34825,3003141,2273807,,,,,ZINC000003929486
DB08934,Sofosbuvir,approved,22227,175427164,D10366,PA166122593,,,Sofosbuvir,CHEMBL1259059,1484911,,,85083,45375808,26286922,50239940,,,,ZINC000100074252
DB08935,Obinutuzumab,"approved,investigational",22546,347910388,D09321,,,,Obinutuzumab,,974779,,,,,,,,,,
DB08936,Chlorcyclizine,approved,,175427165,,,,,Chlorcyclizine,CHEMBL22150,2354,,,94402,2710,2609,50329371,,,,
DB08943,Isoconazole,approved,,310264910,D04624,,,,Isoconazole,CHEMBL1571863,27901,,,83667,3760,3629,31771,,,,
DB08947,Iopamidol,approved,7218,310264913,D01797,,,,Iopamidol,CHEMBL1200932,5966,,,31711,65492,58940,,,,,ZINC000003830947
DB08958,Hexetidine,"approved,investigational",7094,310264923,D07068,,,,Hexetidine,CHEMBL144673,5301,,,94339,3607,3481,,,,,
DB08966,Fursultiamine,approved,,310264929,,,,,Fursultiamine,CHEMBL1740659,4604,,,135636,3002119,2273321,,,,,
DB08967,Dimetotiazine,approved,,310264930,,,,,Dimetotiazine,CHEMBL346977,50138,,,135616,3089,2979,,,,,
DB08981,Fenbufen,approved,,310264942,D01344,PA166049176,,,Fenbufen,CHEMBL277522,24830,,,31599,3335,3218,50240374,,,,ZINC000000001427
DB08987,Etidocaine,approved,,310264948,D04095,,,,Etidocaine,CHEMBL492,4171,,C07530,4904,37497,34400,50225497,,,,
DB08995,Diosmin,"approved,investigational",,310264956,D07858,,,,Diosmin,CHEMBL231884,3489,,C10039,4631,5281613,4444932,153267,,,,ZINC000004098512
DB09009,Articaine,approved,308,310264968,D07468,,,,Articaine,CHEMBL1093,592464,,,91834,32170,29837,50225496,,,,
DB09016,Butriptyline,approved,,347910390,D07601,,,,Butriptyline,CHEMBL2110816,19895,,,,21772,,,,,,
DB09019,Bromhexine,approved,,310264976,D07542,,,,Bromhexine,CHEMBL253376,1753,,,77032,2442,2348,50239965,,,,ZINC000000608220
DB09020,Bisacodyl,approved,10193,310264977,D00245,,,,Bisacodyl,CHEMBL942,1596,,,3125,2391,2299,61400,,,,ZINC000003830321
DB09026,Aliskiren,"approved,investigational",20175,310264980,D03208,PA143487910,,,Aliskiren,CHEMBL1639,325646,,,601027,5493444,4591452,17950,,,C41,ZINC000004393164
DB09027,Ledipasvir,approved,22523,310264981,D10442,PA166128166,,,Ledipasvir,CHEMBL2374220,1591922,,,85089,67505836,29271894,,,,,ZINC000150338819
DB09029,Secukinumab,approved,22582,347910391,D09967,,,,Secukinumab,CHEMBL1743068,1599788,,,,,,,,,,
DB09030,Vorapaxar,approved,22713,310264983,D09765,,,,Vorapaxar,CHEMBL493982,1537034,,,82702,10077130,8252668,50261110,,,VPX,ZINC000003925861
DB09031,Miltefosine,"approved,investigational",,310264984,D02494,,,,Miltefosine,CHEMBL125,1494066,,,75283,3599,3473,50034220,,,,
DB09033,Vedolizumab,approved,22569,347910392,D08083,,,,Vedolizumab,CHEMBL1743087,1538097,,,,,,,,,,
DB09034,Suvorexant,"approved,investigational",23022,310264985,D10082,,,,Suvorexant,CHEMBL1083659,1547099,,,82698,24965990,24662178,50318701,,,SUV,ZINC000049036447
DB09035,Nivolumab,approved,22643,347910393,D10316,,,,Nivolumab,CHEMBL2108738,1597876,,,,,,,,,,
DB09036,Siltuximab,"approved,investigational",22547,347910394,D09669,,,,Siltuximab,CHEMBL1743070,1535218,,,,,,,,,,
DB09037,Pembrolizumab,approved,22604,347910395,D10574,,,,Pembrolizumab,CHEMBL3137343,1547545,,,,,,,,,,
DB09038,Empagliflozin,approved,22629,310264986,D10459,PA166163327,,,Empagliflozin,CHEMBL2107830,1545653,,,82720,11949646,10123957,150162,,,,ZINC000036520252
DB09039,Eliglustat,approved,22865,310264987,D09893,PA166123486,,,Eliglustat,CHEMBL2110588,1547220,,,82752,23652731,28475348,,,,,ZINC000072267023
DB09040,Efinaconazole,approved,22151,310264988,D10021,,,,Efinaconazole,CHEMBL2103877,1539753,,,82718,489181,428538,,,,,ZINC000000006251
DB09041,Tavaborole,"approved,investigational",,310264989,D10169,,,,Tavaborole,CHEMBL443052,1543173,,,77942,11499245,9674047,50370987,,,,ZINC000169990691
DB09042,Tedizolid phosphate,approved,22588,310264990,D09686,,,,Tedizolid,CHEMBL2105669,1540824,,,83326,11476460,9651289,50017198,,,,ZINC000043100953
DB09043,Albiglutide,approved,22625,347910396,D08843,,,,Albiglutide,,1534763,,,,,,,,,,
DB09045,Dulaglutide,"approved,investigational",22660,347910397,D09889,,P43220,,Dulaglutide,CHEMBL2108027,1551291,,,,,,,,,,
DB09046,Metreleptin,approved,,347910398,D05014,,P41159,,Metreleptin,CHEMBL2107857,1491625,,,,,,,,,,
DB09047,Finafloxacin,"approved,investigational",22701,310264991,D10575,,,,Finafloxacin,CHEMBL1908370,1598641,,,85176,11567473,9742243,,,,,ZINC000003985346
DB09048,Netupitant,"approved,investigational",22906,310264992,D10572,,,,Netupitant,CHEMBL206253,1552337,,,85155,6451149,4953629,50178574,,,GAW,ZINC000011681563
DB09049,Naloxegol,approved,22609,310264993,D10479,,,,Naloxegol,CHEMBL2219418,1551777,,,82975,56959087,28651656,,,,,ZINC000095564694
DB09050,Ceftolozane,"approved,investigational",22645,310264994,D10097,,,,Ceftolozane,CHEMBL2103872,1597609,,,134719,53234134,25999973,,,,,
DB09051,Elosulfase alfa,"approved,investigational",22450,347910399,D10333,,P34059,,Elosulfase_alfa,CHEMBL2108676,1489914,,,,,,,,,,
DB09052,Blinatumomab,"approved,investigational",22674,347910400,D09325,,,,Blinatumomab,CHEMBL1742992,1597258,,,,,,,,,,
DB09053,Ibrutinib,approved,22542,310264995,D10223,PA166121346,,,Ibrutinib,CHEMBL1873475,1442981,,,76612,24821094,26637187,50357312,,,1E8,ZINC000035328014
DB09054,Idelalisib,approved,22590,310264996,D10560,,,,Idelalisib,CHEMBL2216870,1544460,,,82701,11625818,9800565,150175,,,40L,ZINC000013986658
DB09055,Acipimox,"approved,investigational",,347827819,D07190,,,,Acipimox,CHEMBL345714,16817,,,94688,5310993,4470534,50208130,,,,ZINC000001481960
DB09056,Amorolfine,"approved,investigational",,,,,,,Amorolfine,CHEMBL489411,17804,,,599440,,49010,,,,,
DB09057,Anthrax immune globulin human,approved,22950,347910401,,,,,Anthrax_immune_globulin,,1722335,,,,,,,,,,
DB09059,Atosiban,"approved,investigational",,,D03008,,,,Atosiban,CHEMBL382301,59639,,,135899,,4470550,50177595,,,,ZINC000169362009
DB09060,Avibactam,approved,,310264997,,,,,Avibactam,CHEMBL1689063,1603834,,,85984,9835049,8010770,50339145,,,,ZINC000009302239
DB09061,Cannabidiol,"approved,investigational",14448,347827820,,,,,Cannabidiol,CHEMBL190461,2045371,,C07578,69478,644019,559095,50121429,,,P0T,ZINC000004097406
DB09063,Ceritinib,approved,22568,310264998,D10551,,,,Ceritinib,CHEMBL2403108,1535457,,,78432,57379345,29315053,50436850,,,4MK,ZINC000096272772
DB09064,Ciprofibrate,"approved,investigational",,,D03521,,,,Ciprofibrate,CHEMBL557555,21149,,,50867,,2661,50371235,,,,
DB09065,Cobicistat,approved,21508,310264999,D09881,PA166165092,,,Cobicistat,CHEMBL2095208,1306284,,,72291,25151504,25084912,50447471,,,,ZINC000085537014
DB09066,Corifollitropin alfa,"approved,investigational",,,,,,,Gonadotropin_preparations,,,,,,,,,,,,
DB09067,Corticorelin ovine triflutate,approved,,310265000,D03592,,,,Corticorelin,CHEMBL1201591,74671,,,65307,16132344,17289003,,,,,
DB09068,Vortioxetine,"approved,investigational",22527,310265001,D10184,PA166122595,,,Vortioxetine,CHEMBL2104993,1455099,,,76016,71768094,8141643,50400902,,,,ZINC000034051848
DB09069,Trimetazidine,"approved,investigational",,310265002,D01606,,,,Trimetazidine,CHEMBL203266,10826,,,94789,21109,19853,80613,,,,ZINC000019358638
DB09070,Tibolone,"approved,investigational",1251,347827821,D01639,,,,Tibolone,CHEMBL2103774,38260,,,32223,444008,392038,,,,,ZINC000003812889
DB09071,Tasimelteon,"approved,investigational",,310265003,D09388,,,,Tasimelteon,CHEMBL2103822,1490468,,,79042,10220503,8395995,,,,,ZINC000004392649
DB09072,Sodium oxybate,approved,15411,347827822,,,,,Sodium_oxybate,CHEMBL1200682,9899,,,,23663870,9983,,,,,
DB09073,Palbociclib,"approved,investigational",22703,310265004,D10372,PA166153469,,,Palbociclib,CHEMBL189963,1601374,,,85993,5330286,4487437,6309,,,LQQ,ZINC000003938686
DB09074,Olaparib,approved,22712,,D09730,,,,Olaparib,CHEMBL521686,1597582,,,83766,,23343272,27566,,,09L,ZINC000040430143
DB09075,Edoxaban,approved,22816,310265005,D09546,PA166128806,,,Edoxaban,CHEMBL1269025,1599538,,,85973,10280735,8456212,50328731,,,,ZINC000043200832
DB09076,Umeclidinium,approved,22230,347827824,D10180,,,,Umeclidinium_bromide,CHEMBL1187833,1487514,,,79041,11519070,9693858,50267614,,,,ZINC000034608502
DB09077,Dinutuximab,"approved,investigational",23016,347910402,D10559,,,,Dinutuximab,CHEMBL3137342,1606274,,,,,,,,,,
DB09078,Lenvatinib,"approved,investigational",22675,310265006,D09919,PA166153472,,,Lenvatinib,CHEMBL1289601,1603296,,,85994,9823820,7999567,50331094,,,LEV,ZINC000003816292
DB09079,Nintedanib,approved,22614,310265007,D10481,,,,Nintedanib,CHEMBL502835,1592737,,,85164,9809715,7985471,50026612,,,XIN,ZINC000100014909
DB09080,Olodaterol,approved,22094,310265008,D10145,,,,Olodaterol,CHEMBL605846,1546059,,,82700,11504295,9679097,,,,,ZINC000034636383
DB09081,Idebenone,"approved,investigational",20374,310265009,D01750,,,,Idebenone,CHEMBL252556,51296,,,31687,12881464,14944546,,,,,
DB09082,Vilanterol,approved,22120,347827825,D09696,,,,Vilanterol,CHEMBL1198857,1424884,,,75037,10184665,8360167,50416060,,,,ZINC000003991624
DB09083,Ivabradine,approved,22836,310265010,D07165,PA166123415,,,Ivabradine,CHEMBL471737,1649480,,,85966,132999,117373,50326992,,,,ZINC000003805768
DB09084,Benzydamine,approved,2047,310265011,,,,,Benzydamine,CHEMBL12610,1425,,,94563,12555,12036,50103598,,,,ZINC000002020083
DB09085,Tetracaine,"approved,vet_approved",2958,310265012,D00551,PA451638,,,Tetracaine,CHEMBL698,10391,,C07526,9468,5411,5218,50017659,,,TE4,ZINC000001530811
DB09086,Eugenol,approved,9699,310265013,,,,,Eugenol,CHEMBL42710,4186,,C10453,4917,3314,13876103,50164168,,,EOL,ZINC000000001411
DB09087,Potassium alum,approved,7034,310265014,,,,,Potassium_alum,,54989,,,86463,24856,23239,,,,,
DB09089,Trimebutine,approved,1925,310265016,,,,,Trimebutine,CHEMBL190044,10819,,,94458,5573,5372,83417,,,,
DB09090,Pinaverium,approved,2097,310265017,,,,,Pinaverium,CHEMBL1909324,33724,,,135811,40704,37182,50101975,,,,
DB09093,Chlortetracycline,"approved,investigational,vet_approved",8668,310265020,D07689,,,,Chlortetracycline,CHEMBL404520,2408,,C06571,27644,54708735,10469370,,,,CTC,ZINC000019701769
